9554,"Aflibercept – Setting its Sights on Diabetic Macular Oedema (HSC) Medicine - Diabetes; (HSC) Medicine - Drug Design; (HSC) Medicine - Ophthalmology;  European Ophthalmic Review ---Touch Medical Media Centre Hospitalier Universitaire, Bordeaux, France Department of Ophthalmology, University of Amsterdam, The Netherlands Royal Liverpool University Hospital, UK http://retractionwatch.com/2015/06/05/well-tell-you-later-says-ophthalmology-journal-about-retracted-paper/",+Notice - Lack of+Retract and Replace,Jean-François Korobelnik Reinier Schlingemann Jan Pearce,10/03/2014  10.17925/EOR.2014.08.02.152,01/01/2015,Conference Abstract/Paper Retraction,France Netherlands United Kingdom Unknown
427,"FAK mediates the activation of cardiac fibroblasts induced by mechanical stress through regulation of the mTOR complex (BLS) Biology - General; (HSC) Medicine - Cardiology;  Cardiovascular Research ---Oxford University Press Department of Internal Medicine, School of Medicine and Department of Cell Biology, State University of Campinas, Campinas, SP, Brazil http://retractionwatch.com/2014/11/06/cardiac-journal-pulls-paper-for-image-manipulation/",+Concerns/Issues About Data+Error in Data,Ana Paula Dalla Costa Carolina F M Z Clemente Hernandes F Carvalho Jose Barreto Campelo Carvalheira Wilson Nadruz Jr. Kleber G Franchini,12/28/2009 20038548 10.1093/cvr/cvp416,09/27/2014 25349144 10.1093/cvr/cvu228,Research Article Retraction,Brazil No
19777,"Identification of CD24 as a Cancer Stem Cell Marker in Human Nasopharyngeal Carcinoma (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Oncology; (HSC) Medicine - Otorhinolaryngology;  PLoS One ---PLoS Biochemical Engineering Research Center, Ming Chi University of Technology, Taipei, Taiwan, Republic of China Center for Molecular and Clinical Immunology, College of Medicine, Chang Gung University, Taoyuan, Taiwan, Republic of China Department of Laboratory Medicine, Linkou Chang Gung Memorial Hospital, Taoyuan, Taiwan, Republic of China Department of Medical Biotechnology and Laboratory Sciences, College of Medicine, Chang Gung University, Taoyuan, Taiwan, Republic of China Department of Microbiology and Immunology, College of Medicine, Chang Gung University, Taoyuan, Taiwan, Republic of China Department of Molecular Cell Biology and Health Sciences Research Institute, University of California Merced, Merced, California, United States of America Department of Respiratory Therapy, Fu Jen Catholic University, Taipei, Taiwan, Republic of China Division of Applied Toxicology, Taiwan Agricultural Chemicals and Toxic Substances Research Institute, Council of Agriculture, Executive Yuan, Taichung, Taiwan, Republic of China Graduate Institute of Biomedical Sciences, College of Medicine, Chang Gung University, Taoyuan, Taiwan, Republic of China Laboratory of Cellular Physiology and Immunology, Rockefeller University, New York, New York, United States of America Molecular Medicine Research Center, College of Medicine, Chang Gung University, Taoyuan, Taiwan, Republic of China Research Center of Bacterial Pathogenesis, College of Medicine, Chang Gung University, Taoyuan, Taiwan, Republic of China http://retractionwatch.com/2019/01/12/weekend-reads-fishy-research-on-fishes-was-sokal-squared-misconduct-the-misuse-of-metrics/",+Duplication of Data,Chun Hung Yang Hui Ling Wang Yi Sheng Lin K P Shravan Kumar Hung Chi Lin Chih Jung Chang Chia Chen Lu Tsung Teng Huang Jan Martel David M Ojcius Yu Sun Chang John D Yuong Hsin Chih Lai,06/23/2014 24955581 10.1371/journal.pone.0099412,09/26/2014 24955581 10.1371/journal.pone.0109495,Research Article Correction,Taiwan United States No
2893,"Improved treatment of Asthma by using natural sources of antioxidants (HSC) Medicine - Alternative; (HSC) Medicine - Drug Design; (HSC) Medicine - Pharmacology; (HSC) Medicine - Pulmonology;  Springerplus ---Springer School of Biotechnology, International University, Ho Chi Minh CityFaculty of Applied sciences, University of the West of England, BristolHome Clinic, Ho Chi Minh City http://retractionwatch.com/2014/10/13/asthma-study-yanked-for-serious-ethical-violations/",+Error in Data+Ethical Violations by Author+Informed/Patient Consent - None/Withdrawn+Lack of Approval from Company/Institution+Lack of Approval from Third Party+Miscommunication by Journal/Publisher,Nguyen Van Toan Tran Thi Hanh,06/26/2013 23853752 10.1186/2193-1801-2-278,09/25/2014 25392122 10.1186/2193-1801-3-558,Clinical Study Retraction,United Kingdom Vietnam No
2006,"Comment on 'CD4+ T Cell Autoimmunity to Hypocretin/orexin and Cross-reactivity to a 2009 H1N1 Influenza A Epitope in Narcolepsy (BLS) Biology - Cellular; (BLS) Biology - Molecular; (BLS) Neuroscience; (HSC) Medicine - Immunology;  Science Translational Medicine ---American Association for the Advancement of Science (AAAS) GlaxoSmithKline Vaccines, Rixensart, Rixensart 3090, BelgiumGlaxoSmithKline Vaccines, King of Prussia, PA 19406, USA http://retractionwatch.com/2014/09/25/downstream-effects-comment-on-retracted-narcolepsy-paper-retracted/",+Results Not Reproducible+Unreliable Results,Robbert van der Most Martine Wettendorff Bruce Innis Emmanuel Hanon,06/25/2014 24964988 10.1126/scitranslmed.3008906,09/24/2014 25253677 10.1126/scitranslmed.3010397,Research Article Retraction,Belgium United States No
9149,"Primary immunodeficiency diseases: an update on the classification from the International Union of Immunological Societies Expert Committee for Primary Immunodeficiency (BLS) Genetics; (HSC) Medicine - Immunology;  Frontiers in Immunology ---Frontiers Department of Pediatrics, Kuwait University, Kuwait City, Kuwait Allergy and Clinical Immunology Unit, Department of Pediatrics, Al-Sabah Hospital, Kuwait City, Kuwait Clinical Immunology Unit, Casablanca Children’s Hospital, Ibn Rochd Medical School, King Hassan II University, Casablanca, Morocco St. Giles Laboratory of Human Genetics of Infectious Diseases, Rockefeller Branch, The Rockefeller University, New York, NY, USA Laboratory of Human Genetics of Infectious Diseases, Necker Branch, INSERM UMR1163, Imagine Institut, Necker Medical School, University Paris Descartes, Paris, France Division of Immunology, Children’s Hospital Boston, Boston, MA, USA Department of Medicine and Pediatrics, Mount Sinai School of Medicine, New York, NY, USA Meyer Children’s Hospital-Technion, Haifa, Israel Group of Primary Immunodeficiencies, University of Antioquia, Medellin, Colombia UCL Institute of Child Health, London, UK Laboratory of Clinical Infectious Diseases, National Institute of Allergy and Infectious Diseases, Bethesda, MD, USA Dr. von Hauner Children’s Hospital, Ludwig-Maximilians-University Munich, Munich, Germany Department of Pediatrics, National Defense Medical College, Saitama, Japan Department of Pediatrics, Seattle Children’s Research Institute, University of Washington, Seattle, WA, USA Department of Clinical Immunology, Hôpital Saint-Louis, Assistance Publique-Hôpitaux de Paris, Paris, France Sorbonne Paris Cité, Université Paris Diderot, Paris, France Centre d’Étude des Déficits Immunitaires (CEDI), Hôpital Necker-Enfants Malades, AP-HP, Paris, France Department of Pediatrics, UCSF Benioff Children’s Hospital, University of California San Francisco, San Francisco, CA, USA Department of Pediatrics, Division of Allergy Immunology, The Children’s Hospital of Philadelphia, Philadelphia, PA, USA Murdoch Childrens Research Institute, Melbourne, VIC, Australia Department of Paediatrics, University of Melbourne, Melbourne, VIC, Australia Department of Allergy and Immunology, Royal Children’s Hospital, Melbourne, VIC, Australia",+Error in Data,Waleed Al-Herz Aziz Bousfiha Jean-Laurent Casanova Talal Chatila Mary Ellen Conley Charlotte Cunningham-Rundles Amos Etzioni Jose Luis Franco H Bobby Gaspar Steven M Holland Christoph Klein Shigeaki Nonoyama Hans D Ochs Erik Oksenhendler Capucine Picard Jennifer M Puck Kate Sullivan Mimi L K Tang,04/22/2014 24795713 10.3389/fimmu.2014.00162,09/24/2014  10.3389/fimmu.2014.00460,Commentary/Editorial Correction,Australia Colombia France Germany Israel Japan Kuwait Morocco United Kingdom United States No
4844,"Detection of circulating tumour cells in gastric and hepatocellular carcinoma: a systematic review (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Oncology;  The Journal of International Medical Research ---SAGE Publications Department of Oncology, General Hospital of Chinese PLA, 28 Fuxing Road, Haidian District, Beijing 100853, China",+Concerns/Issues about Referencing/Attributions+Euphemisms for Plagiarism,Ping Gao Shun Chang Jiao Li Bai Huan Wang Fang-Fang Jing Jun Lan Yang,07/31/2013 23908550 10.1177/0300060513489789,09/19/2014 25239877 10.1177/0300060514545431,Review Article Retraction,China Yes
4843,"Osteoporosis and related factors in older females with skeletal pain or numbness: A retrospective study in East China (HSC) Medicine - Orthopedics;  The Journal of International Medical Research ---SAGE Publications Department of Orthopaedics, QiLu Hospital, Shandong University, Ji’nan, Shandong Province, ChinaDepartment of Orthopaedics, Qindao Municipal Hospital, Qingdao, Shandong Province, China",+Concerns/Issues about Referencing/Attributions+Euphemisms for Plagiarism,Yongsheng Zhao Yuxin Liu Yanping Zheng,05/17/2013 23685891 10.1177/0300060513483414,09/19/2014 25239877 10.1177/0300060514545431,Clinical Study Retraction,China Yes
4824,"Pharmacological and physical prevention and treatment of no-reflow after primary percutaneous coronary intervention in ST-segment elevation myocardial infarction (BLS) Biology - General; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Geriatric; (HSC) Medicine - Pharmacology;  The Journal of International Medical Research ---SAGE Publications Department of Geriatric Nephrology, Institute of Gerontology, Chinese PLA General Hospital, Beijing 100853, ChinaCardiovascular Department, Affiliated Hospital of Chinese People's Armed Police Logistics College, Tianjin, China",+Concerns/Issues about Referencing/Attributions+Euphemisms for Plagiarism,Ao Qiang Guo Lei Sheng Xu Lei Wang Shu,04/29/2013 23628920 10.1177/0300060513479859,09/19/2014 25239877 10.1177/0300060514545431,Research Article Retraction,China Yes
3339,"Natural and inducible TH17 cells are regulated differently by Akt and mTOR pathways (BLS) Biology - Cellular; (HSC) Medicine - Immunology;  Nature Immunology ---Springer - Nature Publishing Group Abramson Family Cancer Research Institute, University of Pennsylvania, Philadelphia, PennsylvaniaMedical Scientist Training Program, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PennsylvaniaSidney-Kimmel Comprehensive Cancer Research Center, Department of Oncology, Johns Hopkins University School of Medicine, Baltimore, MarylandImmunology Program, Memorial Sloan-Kettering Cancer Center, New York, New YorkDepartment of Pharmacology and Cancer Biology, Department of Immunology, Sarah W. Stedman Nutrition and Metabolism Center, Duke University, Durham, North CarolinaThe Institute for Diabetes, Obesity and Metabolism, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PennsylvaniaDepartment of Pathology and Laboratory Medicine, University of Pennsylvania, Philadelphia, PennsylvaniaDepartment of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania http://retractionwatch.com/2014/09/03/first-author-blamed-for-retraction-in-prestigious-medical-journal-retraction/",+Author Unresponsive+Error in Results and/or Conclusions+Notice - Limited or No Information+Results Not Reproducible,Jiyeon S Kim Tammarah Sklarz Lauren B Banks Mercy Gohil Adam T Waickman Nicolas Skuli Bryan L Krock Chong T Luo Weihong Hu Kristin N Pollizzi Ming O Li Jeffrey C Rathmell Morris J Birnbaum Jonathan D Powell Martha S Jordan Gary A Koretzky,05/05/2013 23644504 10.1038/ni.2607,09/18/2014 25232822 10.1038/ni0910-996,Research Article Retraction,United States No
1307,"Predicting New Molecular Targets for Rhein Using Network Pharmacology (BLS) Biology - Molecular; (HSC) Medicine - Pharmacology;  BMC Systems Biology ---BioMed Central (BMC) National TCM Key Lab of Serum Pharmacochemistry, Heilongjiang University, of Chinese Medicine, Heping Road 24, Harbin, 150040 China Key Pharmacometabolomics Platform of Chinese Medicines, Heping Road 24, Harbin, 150040 China http://retractionwatch.com/2014/09/29/its-happened-again-researcher-appears-to-have-peer-reviewed-his-own-paper/",+Fake Peer Review+Misconduct by Author,Aihua Zhang Hui Sun Bo Yang Xijun Wang,03/21/2012 22433437 10.1186/1752-0509-6-20,09/18/2014 25779920 10.1186/s12918-014-0105-3,Research Article Retraction,China No
2128,"The effect of soluble RAGE on inhibition of angiotensin II-mediated atherosclerosis in apolipoprotein E deficient mice (BLS) Biochemistry; (BLS) Biology - Molecular; (HSC) Medicine - Cardiovascular;  PLoS One ---PLoS Graduate Program in Science for Aging and Yonsei Research Institute of Aging Medicine, Yonsei University, Seoul, South Korea Cardiovascular Research Institute, Yonsei University School of Medicine, Seoul, South Korea Brain Korea 21 Project for Medical Science, Yonsei University, Seoul, South Korea Medical Science Research Institute, Kyung Hee University Medical Center, Seoul, South Korea Severance Integrative Research Institute for Cerebral and Cardiovascular Diseases, Yonsei University College of Medicine, Seoul, South Korea Division of Cardiology, Yonsei University College of Medicine, Seoul, South Korea http://retractionwatch.com/2014/09/25/data-questions-prompt-retraction-of-plos-one-cardiovascular-paper/",+Concerns/Issues About Data+Concerns/Issues About Results+Duplication of Data+Error in Image+Withdrawal,Dajeong Lee Kyung Hye Lee Hyelim Park Soo Hyuk Kim Taewon Jin Soyoung Cho Ji Hyung Chung Soyeon Lim Sungha Park,08/01/2013 23936343 10.1371/journal.pone.0069669,09/18/2014 25233008 10.1371/journal.pone.0108684,Research Article Retraction,South Korea No
8384,"Gene therapy for Wiskott-Aldrich syndrome--long-term efficacy and genotoxicity (BLS) Biology - Molecular; (BLS) Genetics; (HSC) Medicine - Cardiovascular; (HSC) Medicine - Immunology; (HSC) Medicine - Oncology; (HSC) Medicine - Pathology; (PUB) Society/Association Journals;  Science Translational Medicine ---American Association for the Advancement of Science (AAAS) Dr. von Hauner Children’s Hospital, Ludwig Maximilians University Munich, MunichDepartment of Pediatric Hematology/Oncology, Hannover Medical School, HannoverDepartment of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Center, HeidelbergInstitute of Experimental Hematology, Hannover Medical School, HannoverInstitute for Cell and Molecular Pathology, Hannover Medical School, HannoverGerman Cancer ConsortiumEUFETS AG, Idar-ObersteinDepartment of Pediatrics, Minden Hospital, MindenQueensland Children's Cancer Centre, Royal Children's Hospital, Brisbane, QueenslandDepartment of Pediatric Hematology and Oncology, Loma Linda University Medical Center, Loma Linda, CAChildren's Hospital Kemperhof, KoblenzDepartment of Pediatrics and Adolescent Medicine, American University of Beirut Medical Center, BeirutDepartment of Pediatrics, Faculty of Medicine, Kuwait University, Kuwait CityDepartment of Clinical Immunology, Russian Clinical Children's Hospital, MoscowDepartment of Infectious and Pediatric Immunology, Medical and Health Science Center, University of Debrecen, Debrecen",+Concerns/Issues about Referencing/Attributions+Error in Image+Error in Text,Christian Jörg Braun Kaan Boztug Anna Paruzynski Maximilian Witzel Adrian Schwarzer Michael Rothe Ute Modlich Rita Beier Gudrun Göhring Doris Steinemann Raffaele Fronza Claudia Regina Ball Reinhard Haemmerle Sonja Naundorf Klaus Kühlcke Martina Rose Chris Fraser Liesl Mathias Rudolf Ferrari Miguel R Abboud Waleed Al-Herz Irina Kondratenko László Maródi Hanno Glimm Brigitte Schlegelberger Axel Schambach Michael Heinrich Albert Manfred Schmidt Christof von Kalle Christoph Klein,03/12/2014 24622513 10.1126/scitranslmed.3007280,09/17/2014 00000000 10.1126/scitranslmed.3010603,Clinical Study Correction,Australia Germany Hungary Kuwait Lebanon Russia United States No
